pubmed_id_list,min_publication_date
"7828850,8242749",1993 Nov 19
"9407116,10849448",1997 Dec 26
11266449,2001 Jan 22
16014719,2005 Jul 13
12374739,2002 Oct 15
11780146,2002 Feb
"11781820,12522270",2001 Dec 6
9798959,1998 Oct
11120811,2000 Dec 15
"7926767,11494134,12379115",1994 Apr 1
12475393,2003 Feb 15
12130510,2002 Aug 1
"1383690,8294442,16219545",1992 Nov
"7512963,8114715,8692915,10488096,10574931,12468540",1994 Apr 22
12024016,2002 Jun
12569093,2003 Apr 11
12379650,2002 Dec 13
"7926767,8194526,8875975,8978305,9480911,9642287,11380621,11956190,12198159",1994 Apr 1
"7493940,8978305",1995 Dec 8
9603926,1998 Jun 5
7780740,1995 Mar 1
"7926767,9516488,14725908",1994 Apr 1
11309382,2001 Jul 20
8438166,1993 Feb 19
10896159,2000 Jun
12110584,2002 Jul 15
"11163214,15588985",2000 Dec
"8629002,8630736,11598012,12445832,12573241",1996 May
"9461559,10212258",1999 Apr 30
14679214,2004 Mar 12
16648821,2006 Jul
"9168116,9168117",1997 May 29
11741929,2002 Feb 15
"9144171,15886098",1997 May 13
12637538,2003 May 16
10567556,1999 Dec
17101133,2006 Nov 27
"8943360,9010225,9593709,11418237,12672821,17101133",1996 Dec
11278340,2001 May 25
15175272,2004 Aug 1
11374898,2001 May 15
"7590236,17101133",2006 Nov 27
11891774,2002 Mar 1
10635328,1999 Dec
9949177,1999 Feb 15
8195119,1994 May 27
12419186,2002 Oct 29
12913069,2003 Aug 15
"8194526,15886098,19380743,25814554,33961781",1994 May 15
"8194526,36736316",1994 May 15
9211900,1997 Jul 11
11278261,2001 Apr 13
"11494128,35384245",2001 Jul 5
"15735735,15886098",2005 Apr 7
"15886098,28514442,33961781",2005 May 10
"16273093,24658140,25402006",2006 Jan 12
16964398,2006 Oct
"18330356,32296183",2020 Apr
18346204,2008 Jul
20936779,2010 Oct
22974441,2012 Sep 14
23873930,2013 Sep 6
"25036637,32707033",2014 Jul 17
"25241761,33961781",2014 Dec 5
25624478,2015 Feb 10
25814554,2015 Mar 26
"28514442,29568061,33961781",2017 May 25
"28514442,32296183,33961781",2017 May 25
34315543,2021 Jul 27
"36736316,36931259",2023 Mar 16
12748290,2003 Jun
"8875975,9480911,9642287,11956190,12198159",1996 Oct 3
24163370,2013 Dec 13
25416956,2014 Nov 20
21461837,2011 Jun
23443559,2013
"23443559,32807901",2013
25476789,2015 Feb 6
27609421,2016 Nov
29568061,2018 Mar 22
30655611,2019 Jan 17
"31871319,34079125",2021 Jul
"34709727,35748872",2021 Nov
36232890,2022 Sep 30
15525470,2004 Nov
9427644,1998 Jan 15
23403292,2013 Feb 21
"26186194,33961781",2021 May 27
"26344197,29568061",2015 Sep 17
29540532,2018 May 15
32963011,2020 Nov 1
"12360400,16326698,16698035,18452305,19061860,24565757,29899443,30257991",2002 Oct 3
16713569,2006 May 19
17620599,2007 Jul 17
18056116,2008 Feb 8
18303054,2008 Mar 15
"18480843,23455922",2008 Jun 4
18480843,2008 Jun 4
18678647,2008 Oct
19343720,2009 May
19759019,2009 Oct 30
20431927,2010 Apr
20562859,2010 Jul 1
21532586,2011 Jun
21642987,2011 Jun 5
"22658674,32694731",2012 Jun 8
"22863883,26344197",2015 Sep 17
"22863883,35831314",2012 Sep
"22863883,37689310",2012 Sep
23181366,2013 Jan 4
23383273,2013
23455922,2013 Apr
"23455922,27684187",2013 Apr
"23455922,32707033",2020 Aug 6
"23455922,32694731",2013 Apr
"24797263,34373451",2014 Jul
24798327,2014 Jun 20
25315684,2015 Jan
26725010,2016 Jan 7
"26972000,33961781",2021 May 27
27182664,2016 Jul
"29467282,36424410",2018 Apr
29615496,2018 Jul
29676528,2018 Jun
29899443,2018 Jun
29955894,2018 Sep 28
30224337,2019 Jan 1
30349055,2018 Oct 22
30455355,2019 Jan 11
"30948266,36232890",2019 May 16
31152661,2020 Feb 20
31452512,2019 Aug 27
32239614,2020 May 6
"32687490,35831314",2020 Jul
"32694731,32989298",2020 Nov
"32941674,36376293",2020 Nov
33005030,2020 Oct
33239621,2020 Nov 25
33417871,2021 Jan 7
33462405,2021 Jun
33567341,2021 Jan-Jun
"33729478,36114006",2021 May 31
"33853758,35944360",2022 Oct 15
34128473,2021 Jun 15
34299191,2021 Jul 15
"34329467,35748872",2022 Jul 8
34638806,2021 Sep 28
34709266,2022 Jan 17
34718347,2022 Jan
34795231,2021 Nov 18
35031058,2022 Jan 14
35122331,2022 Jun
35182466,2022 Mar 3
35198878,2022 Feb 18
35483524,2022 Aug
35654790,2022 Jun 2
35844135,2022 Sep 1
36282215,2023 Jan 2
