pubmed_id_list,min_publication_date
2369897,1990 Aug
7791781,1995 Jul
"9341202,10889043",1997 Oct 24
9341202,1997 Oct 24
9388234,1997 Dec 5
9809067,1998 Oct
9823775,1998 Nov
"10357819,10428834",1999 Aug 6
"10428834,18310298,22207709",1999 Aug 6
10428834,1999 Aug 6
"12665574,20335021",2003 Apr
"16157300,16293633",2005 Oct 28
"16293633,18850631",2006 Feb 17
18234858,2008 Feb 5
"18850631,35271311",2008 Nov
20335021,2010 Jul
21087998,2011 Mar
22207709,2012 Feb 3
"25609649,30572598",2015 Jan 21
"28319085,35271311",2017 May
"30021884,33961781,35271311",2018 Oct
"30021884,30804502,35271311",2018 Oct
"30021884,34133714",2018 Oct
30776481,2019 May 28
35163710,2022 Feb 4
"35271311,36537216",2023 Jan 25
15924147,2005 Jul
9545312,1998 Apr 17
10428836,1999 Aug 6
10428835,1999 Aug 6
10713105,2000 Mar 17
16293633,2006 Feb 17
11593421,2001 Sep 27
14611647,2004 Mar 1
"11403955,31980649,33961781,35831314",2001 Jun 22
22110403,2011 Nov
11403955,2001 Jun 22
15705883,2005 Feb 1
12500973,2003 Mar 7
18544348,2008 Oct
21102410,2010 Dec 15
31521246,2019 Nov 5
32042051,2020 Feb 10
35821281,2022 Aug
11849436,2002 Mar
"24623722,34079125",2014 May
"26186194,32877691,33961781",2015 Jul 16
"7705655,14980220,17761950",1995 Apr 1
"11559707,16002533",2001 Nov 23
"11877444,33087562",2002 May 31
12032831,2002 May 30
"12082103,16002533",2005 Jul
"14612408,17023523",2003 Dec
15459248,2005 Jan
16434970,2006 May 18
"17139261,23071566",2006 Dec 13
"19321449,33087562",2009 May 22
"21988832,33990575",2011 Oct 11
24584437,2014 Mar 3
28240261,2017 Feb 27
"28388439,34645818",2017 Apr 6
28388439,2017 Apr 6
28431397,2017 Apr 25
28622293,2017 Sep
"30224829,33087562",2018 Sep 17
30905540,2019 Jul
33990575,2021 May 14
16223362,2006 Feb 1
17139261,2006 Dec 13
11883936,2002 Mar 15
11559707,2001 Nov 23
12509444,2003 Jan
"17220277,28192407",2007 Mar
"19917725,30572598",2010 Jan
25552417,2015 Jan
"27926873,31046116",2016 Dec 6
33530829,2021 Nov
11864602,2002 Feb
"10623575,12642491",2000 Jan 7
11069927,2001 Feb 9
"12163409,12642491",2002 Sep
16459311,2006 Feb
17220277,2007 Mar
22951069,2012 Sep 26
35675826,2022 Jul 5
10623575,2000 Jan 7
"9792714,35140242",1998 Nov 6
9812974,1998 Nov 20
"10594021,11535594,15604093,16455805,20516075,27486225,28128295",2000 Jan
10882110,2000 Apr
10995777,2000 Dec 29
11811951,2002 Feb 1
"11818510,28514442,33961781,35140242",2017 May 25
11916906,2002 Apr
12089346,2002 Jul
"12089346,12101254",2002 Aug
12101254,2002 Aug
"12110948,15604093,17464991,28128295",2002 Jul
"12205093,35140242",2002 Nov 22
12205093,2002 Nov 22
"12522137,35140242",2003 Mar 14
12727872,2003 May 1
"15322103,15331348,17636037,18552123,20926756,22009745,22155889",2005 Jan
"15331348,16455805",2005 Jan
"15604093,22505616",2005 Feb
"15604093,18552123,21292004,35140242",2005 Feb
"15651981,19115260",2005 May 15
17022998,2006 Dec 8
17052457,2006 Oct 20
"17353931,35140242",2022 Feb 9
"17636037,20817729",2007 Nov
18552123,2008 Sep
20371703,2010 Jun
"20375098,35140242",2010 Aug
20926756,2011 Jan
22197810,2012 Jan 13
22505616,2012 Aug 1
"35140242,35609419",2022 Feb 9
11818510,2002 Feb
19115260,2009 Feb 1
10652338,2000 Feb 4
9792724,1998 Nov 6
"9795230,15604093",1998 Oct 23
12522137,2003 Mar 14
12740371,2003 Jul 25
12855700,2003 Sep 19
"15604093,16488887",2006 Apr 14
11229886,2001 Mar 1
15744310,2005 Mar 3
10786636,2000 Jan 31
9795230,1998 Oct 23
"15744310,15826954",2005 Jun 10
18459945,2008 Aug 1
"8663146,17264152,17643375,19101556,25324306,34728620,35831314",1996 Jun 21
"10212141,22446626,26496610,34079125",2012 Mar 25
10772858,2000 May 5
"11003644,17643375,25324306,34079125",2000 Oct
11313474,2001 May
"12945950,35831314",2003 Aug
"14704337,17643375,25324306,26496610,30021884,34079125,35271311,35831314",2004
14704337,2004
"15161933,25324306",2004 Jul 30
15210956,2004 Jun 29
16000324,2005 Aug 15
17110431,2007 Mar
"17332742,35831314",2022 Jul 13
"17643375,35031058",2007 Jul 20
"17643375,25324306,26496610",2007 Jul 20
"17643375,25324306",2007 Jul 20
"17643375,25324306,26186194,28514442",2007 Jul 20
"17643375,26186194,28514442,33961781",2007 Jul 20
"17643375,28302793,35271311",2007 Jul 20
"17643375,22446626,22939629,25324306,26344197,26496610,26760575,34079125,35271311",2007 Jul 20
"17643375,22446626,22939629,25324306,35831314",2007 Jul 20
"17643375,25324306,26496610,35831314",2014 Nov 10
"17643375,26186194,35831314",2007 Jul 20
"17643375,22446626,22939629,25324306,26186194,26496610,28514442,34079125,35831314",2007 Jul 20
"17643375,22446626,22939629,26496610,34079125,35831314",2012 Aug 31
"17643375,22446626,25324306,26344197,34079125",2012 Mar 25
"17643375,22863883,22939629,24981860,25324306,26344197,26496610,30021884,34079125,35271311,35831314",2007 Jul 20
"17643375,24981860,25324306,26496610,34079125,35831314",2014 Jul 10
"17643375,22446626,22939629,25324306,26496610,34079125",2007 Jul 20
"17643375,22446626,22939629,25324306,26496610,34079125,35271311,35831314",2007 Jul 20
"17643375,25324306,26496610,34079125,35271311,35831314",2007 Jul 20
"17643375,22446626,22939629,25324306,26496610,34079125,35831314",2012 Aug 31
"17643375,22939629,25324306,26344197,26496610,34079125",2007 Jul 20
"17643375,34079125,35271311",2007 Jul 20
"17643375,25324306,34079125",2007 Jul 20
"17643375,20020773,22446626,34079125",2007 Jul 20
"17643375,22446626,26496610,34079125,35271311",2012 Mar 25
"17643375,18483487,25324306,29845934,34079125",2007 Jul 20
"17643375,22446626,26186194,28514442,33961781,34079125",2007 Jul 20
"17643375,26186194,28514442,29845934,33961781,34079125",2007 Jul 20
19101556,2009 Jan 22
"19710015,26186194",2015 Jul 16
"22365833,22446626,22939629,25324306,26344197,26496610,34079125",2012 Aug 31
"22412018,25324306",2014 Nov 10
"22446626,28515276",2012 Mar 25
"22446626,25324306,28514442",2014 Nov 10
"22446626,26186194,28514442,33961781",2012 Mar 25
"22446626,25324306,25678563",2012 Mar 25
"22446626,35831314",2022 Jul 13
"22446626,26344197,34079125",2012 Mar 25
"22446626,34079125,35271311",2012 Mar 25
"22446626,34079125",2012 Mar 25
"22446626,25324306,34079125",2014 Nov 10
"22446626,25324306,35831314",2012 Mar 25
"22446626,22939629,25324306,26318153,26496610,34079125,35831314",2012 Aug 31
"22446626,25324306,26344197,34079125",2012 Mar 25
"22446626,22863883,22939629,25324306,26344197,34079125",2012 Aug 31
"22446626,25849387,35831314",2012 Mar 25
"22446626,26496610,34079125,35271311",2012 Mar 25
"22446626,30021884,35271311",2012 Mar 25
"22863883,35546148",2012 Sep
"22863883,25324306",2012 Sep
"22863883,22939629,25324306,26496610,34079125,35831314",2012 Aug 31
"22863883,25324306,34079125",2012 Sep
"22939629,28514442,35831314",2012 Aug 31
"22939629,26186194,28514442,35831314",2015 Jul 16
"23383273,35562734,36300783",2013
"23443559,25144556",2013
"24189400,25324306",2014 Nov 10
"24720748,25009770,31287951",2014
"24981860,25324306",2014 Jul 10
"24981860,30719818",2014 Jul 10
"25324306,26186194,28514442",2014 Nov 10
"25324306,26186194",2014 Nov 10
"25324306,29859926",2014 Nov 10
"25324306,26186194,28514442,33961781",2014 Nov 10
"25324306,26186194,33961781",2014 Nov 10
"25324306,28514442,33961781",2014 Nov 10
"25324306,28514442",2014 Nov 10
"25324306,32687490,35831314",2014 Nov 10
"25324306,26496610,34079125",2015 Oct 22
"25324306,34079125",2014 Nov 10
"25324306,26496610,30021884,34079125",2015 Oct 22
"25324306,26186194,26496610,28514442,33961781,34079125",2014 Nov 10
"25324306,30021884",2014 Nov 10
"25324306,26496610,29511296,29884807,34079125",2015 Oct 22
25616961,2015 May 1
"26186194,26496610,28514442,34079125",2015 Oct 22
"26496610,34004371",2015 Oct 22
"26496610,29884807,34079125",2015 Oct 22
"26641092,34079125,35831314",2015
"26757361,28035066",2016 Mar
"29802200,35831314",2018 Jul 13
30988076,2019 May 31
32754263,2020
33319070,2020 Dec
"34079125,34316707",2021 Jul
34080184,2021 Jul
35579947,2022 Jul 15
"35831314,35973989",2022 Aug 17
10383403,1999 Jul 2
10212141,1999 May
12945950,2003 Aug
9144189,1997 May 13
"8288564,9891755",1998
"10441480,22939629,23976881,28611215,35271311,35831314",1999 Aug 11
"11517223,21942715,23976881,27473082,32826868",2011 Nov 4
14675759,2003 Dec 18
"16196087,21139048,21853274,21890473,21906983,21963094,22053931,22178446,22505724,23000965,24654937,25015289,25147182",2011 Mar
"17643375,22939629,26344197,26760575,35271311",2012 Aug 31
"20020773,25678563",2010 Feb 5
"22863883,29212181,35031058,35271311",2012 Sep
"22863883,27248496",2016
"22939629,30021884,35271311,35831314",2012 Aug 31
"22939629,26344197,30021884,35271311,35831314",2012 Aug 31
"22939629,26318153,26344197,26496610,30021884,35271311,35831314",2015 Aug 30
"24244333,25959826,32929329,35256949",2013
"25277244,35831314",2022 Jul 13
"25349213,35831314",2014 Dec 12
"29845934,35271311",2018 May 30
"30021884,35271311,35831314",2018 Oct
31553912,2019 Sep 24
36171622,2022 Sep 29
15518812,2004 Nov 24
1833625,1991 Jul 24
10441480,1999 Aug 11
11517223,2001 Oct 26
"12692135,20085233",2003 Jun 27
"25900982,36199071",2015 Jul
"26318153,26344197,26496610,35831314",2015 Aug 30
"26344197,26760575",2015 Sep 17
29806702,2018 Nov
"30021884,34857952,35831314",2018 Oct
33717650,2021 Mar 5
12692135,2003 Jun 27
"10772858,16189514,21516116,22365833,25416956,32296183",2000 May 5
"15034300,23602568,35831314",2004 May
"15848144,22939629,35271311",2005 May 20
"16189514,19490893,27684187,34373451",2005 Oct 20
"16189514,19447967,25416956,35271311",2005 Oct 20
"16189514,19447967,25416956,32296183",2009 Jul
"16196087,21139048,21853274,21890473,21906983,21963094,22178446,22505724,23000965,24654937,24816145,25015289,25147182",2005 Nov
"16217013,35831314",2005 Oct 18
"16260042,20462248",2006 Apr 15
"17353931,22939629",2007
"17353931,29467282,30415952,35013218,36424410",2007
"18337511,29395067,33961781,35271311",2008 Mar 18
18337511,2008 Mar 18
"20467437,33961781,35831314",2010 Jun
"21988832,36199071",2011 Oct 11
"22365833,22939629,26344197,30021884,32296183,33961781,35831314",2012 Aug 31
"22365833,33961781,35831314",2012 Feb 24
"22365833,26318153,26496610,35271311",2012 Feb 24
"22365833,29395067",2012 Feb 24
22912744,2012
"22939629,26641092,35831314",2012 Aug 31
"22939629,29298432",2012 Aug 31
"22939629,32296183,33961781",2012 Aug 31
"23125841,29395067,33961781",2012
"23602568,26167880",2013 Apr 25
"25416956,32296183,35044719,35271311",2014 Nov 20
"25659891,28514442",2015 Apr
"26979993,33961781",2016 Sep 15
28031331,2017 Apr 1
"28611215,33961781,35271311",2017 Jun 27
34965173,2022
9632798,1998 Jul
"10205060,18573886,26344197,32687490,35831314",1999 Apr 16
"10205060,16556936,16902409,22939629,35831314",1999 Apr 16
"10205060,16556936,18573886",1999 Apr 16
"10373504,26344197,35831314",1999 Jul
10373504,1999 Jul
10933876,2000 Aug 15
"11051545,35831314",2000 Sep 29
"12674497,26318153,26496610,35271311,35831314",2015 Aug 30
"12674497,26496610,35831314",2003 Jan
"12674497,16556936,18573886,21245386,26318153",2003 Jan
12674497,2003 Jan
"15231747,26496610",2015 Oct 22
"15231747,22939629",2004 Jul
15834135,2005 Jun 17
16335786,2005 Jul
"16571724,26318153,35831314",2006 Jun 2
"17643375,26318153,26760575,35271311",2007 Jul 20
"18573886,21245386,23530064",2008 Sep
"21145461,22086907",2010 Dec 10
21245386,2011 Apr
"21942715,22086907",2011 Nov 4
"22086907,23109422",2012 Jan
"22365833,26318153,26496610,30021884,35271311,35831314",2015 Aug 30
"22365833,22939629,26318153",2012 Aug 31
"22365833,22939629,26318153,35831314",2012 Aug 31
"22365833,26641092",2012 Feb 24
"22365833,26318153",2015 Aug 30
"22365833,22863883,22939629,26344197",2012 Aug 31
"22939629,26318153,35271311,35831314",2012 Aug 31
"22939629,26318153,35271311",2012 Aug 31
"22939629,26318153,26344197",2012 Aug 31
"22939629,30021884,35271311",2018 Oct
23109422,2013 Jan
"23530064,25900982,36199071",2013 Jun
"23603392,29467282,35013218,36424410",2018 Apr
23603392,2013 Jun 5
"24189400,35831314",2013 Nov 5
"26269332,30021884",2018 Oct
"26318153,35271311",2015 Aug 30
"26318153,27248496,30804502",2016
"26318153,35831314",2022 Jul 13
"26318153,28319085",2015 Aug 30
"26496610,32963011",2015 Oct 22
"26496610,36490346",2022 Dec 9
32491174,2020 Jul 27
35391558,2022 Apr 7
"11051545,12674497",2000 Sep 29
11051545,2000 Sep 29
12107167,2002 Sep 20
9234743,1997 Aug
"9111328,35831314",1997 May
9111328,1997 May
"9858532,22939629,32296183,34582376,35271311,35831314",1999 Jan
11054566,2000 Oct 17
"15161933,35831314",2004 Jul 30
"16196087,18781797,21139048,21853274,21890473,21906983,21963094,21987572,22053931,22178446,22505724,23000965,24654937,24816145,25015289,25147182",2005 Nov
16568080,2006 Aug 17
"22365833,22939629,25416956,29892012",2012 Aug 31
"22365833,25416956,32296183",2012 Feb 24
"22939629,25416956,32296183",2012 Aug 31
"24244333,25959826,35256949,35509820,35987950",2013
"25882849,29955894,35831314",2018 Sep 28
26627737,2015 Dec 3
27557628,2016 Aug 25
29706618,2018 May 1
"32296183,34711951",2020 Apr
10620016,1999 Dec
9858532,1999 Jan
"9111328,35271311",1997 May
"11003644,17643375,35831314",2007 Jul 20
"15324660,26760575",2016
15456888,2004 Oct
"16055720,26760575",2016
"16196087,18781797,21139048,21853274,21890473,21906983,21963094,21987572,22053931,22108332,22178446,22505724,23000965,24816145,25147182",2005 Nov
"17643375,26760575,35271311",2007 Jul 20
"17643375,26760575",2007 Jul 20
"17643375,26760575,29845934",2007 Jul 20
"17643375,26760575,35271311,35831314",2007 Jul 20
"17643375,26760575,32296183,35831314",2007 Jul 20
"17643375,22939629,26344197,35271311",2007 Jul 20
"17643375,32296183,35271311,35831314",2007 Jul 20
"20020773,26760575,35831314",2010 Feb 5
"21942715,26760575",2011 Nov 4
"22365833,22939629,26760575,35271311",2012 Aug 31
"22365833,22939629,35831314",2012 Aug 31
"22939629,26760575,35271311",2012 Aug 31
"22939629,26641092,26760575",2012 Aug 31
"22939629,26344197,26760575,35271311",2012 Aug 31
"22939629,26760575,29802200",2016
"22939629,26760575,35271311,35831314",2012 Aug 31
"22939629,26344197,26760575",2012 Aug 31
"23125841,35271311",2012
"23443559,35562734,36300783",2013
"23443559,26760575",2013
"24189400,26760575,35831314,36042349",2013 Nov 5
"25948554,26760575",2015 Aug 1
"26446488,26760575",2015 Oct 8
"26760575,29845934",2016
"26760575,33022573",2016
"26760575,35776542",2016
"26760575,34728620,35271311",2016
"26760575,28973437",2016
"26760575,27465491",2016
"26760575,36055981",2016
"26760575,28515276",2016
"26760575,27609421",2016
"26760575,36199071",2016
"26760575,28977470,35271311",2017 Nov 2
"26760575,29884807,35831314",2018 Jun 8
"26760575,32296183,35271311",2016
"26760575,35198878",2016
"26760575,32296183",2016
"28977470,35271311",2017 Nov 2
"29117863,36611995",2017 Nov 8
"30349055,35831314",2018 Oct 22
"31617661,35271311",2019 Dec
"35102251,35831314",2022 Jul 13
"22365833,26496610",2012 Feb 24
"22365833,28302793",2012 Feb 24
"23383273,29540532",2018 May 15
"26496610,29511296",2015 Oct 22
"30554943,35987950",2019 Feb 7
"17353931,23455922",2007
"24189400,30021884",2013 Nov 5
36352191,2023 Jan
8051112,1994 Aug 12
"10772858,22939629,26344197,35271311,35831314",2012 Aug 31
"10772858,22939629,26344197",2000 May 5
"10772858,16189514,22365833,25416956,29892012,32296183",2000 May 5
"12183049,12529443,34728620",2002 Aug 19
"12370808,21988832,22365833",2002 Oct 17
12574161,2003 Apr 18
"15303970,22365833,22939629",2004 Dec 1
"16189514,17643375,32296183",2005 Oct 20
"16189514,22365833,29892012,35271311",2005 Oct 20
"16189514,25416956,26496610,29511296,29884807,32296183",2014 Nov 20
"16189514,22825850,32296183",2005 Oct 20
"16189514,16713569,25416956,29892012,32296183",2005 Oct 20
"16189514,21516116,22365833,22939629,25416956,32296183",2005 Oct 20
"16189514,22365833,32296183",2005 Oct 20
16854432,2006 Aug 18
"18320585,28514442,33961781",2017 May 25
"19249676,22825850,23092970,24583282",2012 Aug 31
"21081503,29384474",2011 Jan 21
"21145461,34857003,35563538",2021 Dec 2
"22365833,22939629,26641092",2012 Feb 24
"22365833,25416956,32296183,35271311",2012 Feb 24
22457825,2012
22542455,2012 May 25
22825850,2012 Aug 31
"22939629,29802200",2012 Aug 31
"22939629,29395067,35831314",2012 Aug 31
"23092970,29969578,34452628",2012 Nov 28
"23092970,25144556,32807901,34452628",2012 Nov 28
23092970,2012 Nov 28
"23414517,32296183",2013 Feb 15
24075985,2013 Oct 17
"25416956,32296183,35271311",2014 Nov 20
"25416956,29892012,32296183,33961781",2014 Nov 20
"25416956,26871637,29892012,32296183",2014 Nov 20
"26871637,35271311",2016 Feb 11
"26990986,33470442",2016 Mar 17
28423622,2017 Mar 21
29220657,2017 Dec 7
29666234,2018 May 1
"32235678,34857003",2020 Mar 30
"32905556,34857003",2020
36317879,2022 Nov 23
36329064,2022 Nov 3
10809782,2000 May 19
12370808,2002 Oct 17
7516469,1994 Jul
"7516469,12052863",1994 Jul
"7862126,8051112",1994 Aug 12
8628302,1996 May
"10749975,16189514",2000 Mar 22
"11231586,11259409",2001 Mar
10329716,1999 May 21
12529443,2003 Jan
"9563502,10772858,22939629,26344197,35271311",1998 Apr 3
"16055720,28611215",2017 Jun 27
"16196087,17623298,18781797,19850743,21890473,21906983,21963094,22053931,22178446,22505724,23000965,23976881,24816145",2005 Nov
"21145461,28611215",2010 Dec 10
"21145461,34333526",2010 Dec 10
"21900255,28611215",2017 Jun 27
"21942715,23976881",2011 Nov 4
"22939629,28611215,35271311",2012 Aug 31
"22939629,28611215",2012 Aug 31
"22939629,26344197,28611215",2015 Sep 17
"23084401,35271311",2012 Nov 9
"23976881,35271311,35831314",2022 Jul 13
23976881,2013
"25437307,28611215",2017 Jun 27
"26344197,28611215,35831314",2015 Sep 17
"26641092,28611215",2015
"28302793,28611215,35271311",2017 Jun 27
"28611215,35271311",2017 Jun 27
"28611215,35777956",2017 Jun 27
"28611215,35256949,35509820",2017 Jun 27
"28611215,35944360",2017 Jun 27
"28611215,36180891",2017 Jun 27
"28611215,29180619",2017 Jun 27
"28611215,33961781",2021 May 27
"28611215,35546148",2017 Jun 27
"28611215,31740976",2017 Jun 27
"28611215,32382008",2017 Jun 27
"28611215,31048545,35258167",2017 Jun 27
"28611215,32877691,35271311",2020 Sep 1
"28611215,34333526",2021 Jul 31
"28611215,32877691",2017 Jun 27
"28611215,32994395",2017 Jun 27
"29212181,35271311",2017 Nov 7
"32152128,35271311",2022 Mar 11
34333526,2021 Jul 31
35258167,2022 Jul
9563502,1998 Apr 3
"9563502,10772858",1998 Apr 3
"8871564,10772858",1996 Oct 1
"10490622,15711563,18710935,21235343,35831314",2005 Mar
"11813259,32529326",2002
"11850402,33961781,34728620,35271311,35831314",2002 Mar
"12777385,26496610",2003 Sep 5
"12840015,20467437,35831314",2003 Sep 12
"15303970,23125841,35831314",2004 Dec 1
"16051665,22939629,28302793,35271311",2005 Oct
"16055720,26506240",2005 Aug
"16196087,18781797,21139048,21853274,21890473,21906983,21963094,21987572,22053931,22505724,23000965,24654937,24816145,25015289,25147182",2005 Nov
"17932509,35831314",2007 Nov
18212063,2008 Mar
"18212063,34795231",2008 Mar
"19578763,29467282,35013218,36424410",2009 Aug
19578763,2009 Aug
"20431927,35850772",2010 Apr
"20431927,22939629,26496610",2012 Aug 31
"20797629,25332235,25900982,27861801,33961781,36199071",2015 Jan
21502505,2011 May 3
"22365833,22863883,26344197,26496610,35831314",2012 Sep
"22863883,26496610,35031058",2012 Sep
"22863883,22939629,26496610",2012 Aug 31
"22863883,26496610,27684187",2012 Sep
"22863883,26496610,35831314",2012 Sep
"22863883,26496610",2012 Sep
"22863883,22939629,26496610,35831314",2012 Aug 31
"22863883,26344197,26496610",2012 Sep
"22939629,35627203",2012 Aug 31
"22939629,26496610,35271311",2012 Aug 31
"22939629,30942445",2012 Aug 31
"22939629,25963833",2012 Aug 31
"22939629,26344197,26496610",2012 Aug 31
"22939629,23084401",2012 Aug 31
"23443559,31152661,32807901",2013
"23443559,25986610",2013
"24147044,24798327",2013
"24189400,26344197,35831314",2015 Sep 17
"25332235,25515538,25900982,28514442,33961781",2014 Dec 16
"25616961,30442662",2018 Dec 4
25986610,2015 Aug
"26344197,26496610,35831314",2015 Oct 22
"26344197,29511296,29884807,35831314",2015 Sep 17
"26496610,31665637",2015 Oct 22
"26496610,29845934",2015 Oct 22
"26496610,35864588",2015 Oct 22
"26496610,33961781,35831314",2015 Oct 22
27861801,2016 Dec
"29884807,30021884,35831314",2018 Oct
"30459231,35954396",2022 Jul 31
34143182,2021 Aug 2
36752613,2023 Feb 28
7831290,1995 Jan 17
15096513,2004 Jun 18
9105675,1997 Apr
8943344,1996 Dec
8670859,1996 Jul 15
11813259,2002
11850407,2002 Feb 15
"9009195,19250647",2009 Mar 6
9009195,1997 Jan 30
"19250647,35140242",2009 Mar 6
11342305,2000 Oct
10327073,1999 Apr 1
9738002,1998 Sep 25
"20211142,35140242",2010 Mar 5
9582372,1998 May 22
"16189514,21653829,32296183",2005 Oct 20
"21516116,25416956,27382069,32296183",2011 Jun
"21653829,25416956",2011 Jun 8
23088713,2012 Oct 22
26496426,2015
27382069,2016 Sep 6
"27382069,32296183",2016 Sep 6
31323436,2019 Sep
15617687,2005 Jan 15
15545268,2005 Jan 21
"21532573,35140242",2022 Feb 9
8657138,1996 Apr
9405651,1997 Dec 23
"9343407,10082572",1997 Nov
10082572,1999 Apr
11042172,2001 Jan 5
14609952,2003 Nov 17
"16189514,19060904,33961781",2005 Oct 20
22269951,2012 Apr
15960974,2005 Jun 17
"10082572,15161102",1999 Apr
12145285,2002 Sep 27
14512427,2003 Nov 28
24037888,2013 Nov
33104986,2021 Apr
36634415,2023 Feb
9343407,1997 Nov
15213244,2004 Jun
"15617687,16087734",2005
"9427749,33961781",1998 Jan 2
10899114,2000 Jul 17
8360179,1993 Sep 5
19997598,2009 Dec 4
16087734,2005
"9482740,10052460",1999 Feb 19
10373562,1999 Jul
10052460,1999 Feb 19
11972344,2002 May 1
16079151,2005 Sep 15
21677782,2011
7729685,1995 Mar 15
"7729685,10906782",1995 Mar 15
10026139,1999 Feb 26
9366523,1997 Oct 23
11571641,2001 Sep 6
11438208,2001 Jul
27613418,2016 Dec 15
10224145,1999 May 7
10722652,2000 Mar 24
"16637071,32296183",2006 Jul 1
"10224145,11139569",1999 May 7
12925734,2003 Sep 2
10523646,1999 Nov
9079695,1997 Mar 28
11036080,2001 Jan 5
20386744,2010 Apr 8
31142615,2019 Jul 12
15385675,2004 Oct 5
11854028,2002 Apr
"16189514,32296183,35198878",2020 Apr
14694264,2003
"16189514,25416956,25910212,28514442,32296183,33961781",2005 Oct 20
"16189514,19060904,25416956,32296183",2005 Oct 20
"8044844,11591653",1994 Jul 29
12756248,2003 Aug 1
3109943,1987 Jun 15
"7628625,9219684,11389730,26721396,34407391",1995 Jul 17
"7809086,7972015,9038168,9150145,9154803,10783161,10922060,11786539,15031288,20936779,25241761",1994 Nov 8
"7862125,7969158,8530446,8628317,9150145,9154803,9523700,10369681,10783161,10882715,10887184,10922060,12379659,12620389,14654780,14724584,15031288,15664191,16214894,16573649,16803888,16916524,22605333,26721396,28205554,30481304,30639242,34591612",1995 Dec 22
"7862125,15031288,15886098,28514442,33961781,34591612",1995 Mar
7969158,1994 Dec
"8557659,10334923,10922060",1996 Jan 12
"8617731,9154803",1996 Mar 1
"8628317,30639242,30655611",2019 Feb 21
"8665852,10783161,14724584,24412244",1996 May 15
"8939933,15031288,20936779,34591612",1996 Nov 22
"9150145,10212255,25241761",1999 Apr 30
"9154803,12874025",1997 Jun
"9488663,24722188",1998 Mar 6
"9690470,12628188,26721396,34407391",1998 Jul 23
10369681,1999 Jun 15
10402467,1999 Jul 12
"10783161,30865892",2019 Mar 12
10922060,2000 Aug 1
10998413,2000 Nov 17
11136978,2000 Dec 8
"11205744,15824104,17533377",2001 Jan
11221888,2001 Feb 1
11257115,2001 Mar 19
"11709720,22696230",2001 Nov 8
"11786539,11980706",2002 Apr 26
"11948427,32296183,33961781",2020 Apr
12134164,2002 Aug
"12379659,30442766",2003 Jan 10
12581858,2003 Feb 17
"12748287,30639242",2003 Jun
14724641,2004 Jan 15
15031288,2004 May 21
19240121,2009 Mar 15
20655225,2010 Aug 10
21041410,2010 Nov 1
"21041410,30639242",2010 Nov 1
22605333,2012 Jun 29
"23382219,30639242",2019 Feb 21
"24412244,30639242",2014 Mar 21
24884338,2014 May 1
24912918,2014 May 30
"26721396,30442766",2016 Jan 19
"27432908,28514442,33961781",2016 Sep
28177903,2017 Apr 18
"28205554,30194290,30639242",2017 Feb 16
"28514442,34591612",2017 May 25
"28514442,30639242",2017 May 25
"30194290,30442762,30442766,30481304,30639242,31337872",2018 Dec 7
"30194290,34591612",2021 Oct
"30194290,30442762,30639242",2018 Sep 7
"30194290,30442766,30655611",2018 Sep 7
"30194290,30655611",2018 Sep 7
31534544,2019
15705808,2005 Mar 18
9516482,1998 Mar 27
15469846,2004 Oct
"7523381,8307946",1994 Feb 11
11585923,2001 Nov
15664191,2005 Jan 21
9582122,1998 May 15
11880369,2002 Aug 23
15187129,2004 Jun 15
"9113989,9235916,11739523",1997 Apr 29
16436381,2006 Mar 31
11744690,2002 Mar 8
15496409,2004 Dec 31
12750467,2003 May 27
"7730360,8035810,8332187,8332195,8530446,8911690,9099670,9154803,9261098,15688026,16301319",1993 Jul 22
11709720,2001 Nov 8
8554611,1995 Dec 26
"2833817,7628625,8663024,9219684",1988 Apr 22
8628317,1996 May
10212255,1999 Apr 30
9150145,1997 May 2
"8137421,11525649,16810318",1994 Mar 25
12732644,2003 Jul 25
8332187,1993 Jul 22
15721486,2005 May 15
"9690470,11560935",1998 Jul 23
12628188,2003 Mar 7
"7972015,9038168",1994 Nov 8
"7862125,9144171",1995 Mar
12970366,2003 Nov 21
9488663,1998 Mar 6
10545207,1999 Nov 15
12867418,2003 Sep 19
11022048,2001 Jan 26
16005186,2006 Mar
"9674433,10783161",2000 Apr 15
8939933,1996 Nov 22
12774123,2003 May 29
"22863883,32994395",2012 Sep
11854271,2002 May 3
9368759,1997 Oct 1
18775314,2008 Sep 5
8805303,1996 Jul 1
11504710,2001 Oct 26
"11504710,11741309,12480542",2001 Dec 21
8478593,1993 May
6438154,1984 Nov
"11513728,35914814",2001 Sep 1
"21653829,26186194,28514442,33961781",2011 Jun 8
"23455924,35914814",2013 Apr
"30224337,35914814",2019 Jan 1
11513728,2001 Sep 1
"8663146,11856371,16782888",2002 Jan
9029147,1997 Jan 15
"10749851,11850402,16879614,34728620,35271311",2000 Jun 30
"11050077,34728620,34857952",2001 Jan 12
11257227,2001 Mar 9
"11387442,12704081,15911693,17043108,22498736,27248496,34728620",2001 Aug 3
"11513728,34728620",2001 Sep 1
"12183049,16879614,23455924,29395067,32296183,34728620",2002 Aug 19
"12183049,34728620",2002 Aug 19
"12183049,28514442,33961781,34728620",2002 Aug 19
"12183049,16169070,25416956,34728620",2002 Aug 19
12183049,2002 Aug 19
"12529443,34728620",2003 Jan
