I#ID	Name
G604	CAV3
G605	RUNX2
G606	RUNX1
G607	RUNX1T1
G608	CBFA2T3
G609	RUNX3
G610	CBFB
G611	SERPINA6
G612	CBL
G613	CBLB
G614	CBLN1
G615	SERPINH1
G616	CBR1
G617	CBR3
G618	CBS
G619	CCIN
G620	KYAT1
G621	CCK
G622	CCKAR
G623	CCKBR
G624	KRIT1
G625	CCNA2
G626	CCNB1
G627	CCNC
G628	CCND2
G629	CCND3
G630	CCNE1
G631	CCNF
G632	CCNG1
G633	CCNG2
G634	CCNH
G635	CCNT1
G636	CCNT2
G637	CCT6A
G638	CD1A
G639	CD1B
G640	CD1D
G641	CD1E
G642	CD2
G643	CD3D
G644	CD3E
G645	CD3G
G646	CD247
G647	CD4
G648	CD5
G649	CD5L
G650	CD6
G651	CD7
G652	CD8A
G653	CD8B
G654	CD9
G655	CD14
G656	CD19
G657	MS4A1
G658	MS4A3
G659	CD22
G660	CD27
G661	CD28
G662	CD80
G663	CD86
G664	TNFRSF8
G665	TNFSF8
G666	CD33
G667	SIGLEC6
G668	CD34
G669	CD36
G670	SCARB1
G671	SCARB2
G672	CD37
G673	CD38
G674	ENTPD1
G675	ENTPD2
G676	ENTPD6
G677	ENTPD3
G678	ENTPD5
G679	CD40
G680	CD40LG
G681	CD44
G682	CD47
G683	CD48
G684	CD53
G685	CD58
G686	CD59
G687	CD63
G688	CD68
G689	CD69
G690	CD70
G691	CD72
G692	CD74
G693	CD79A
G694	CD79B
G695	CD81
G696	ADGRE5
G697	CD151
G698	CDA
G699	CDK1
G700	CDK11B
G701	LRBA
G702	CDC5L
G703	SEPTIN7
G704	CDC6
G705	CDC20
G706	CDC25A
G707	CDC25B
G708	CDC25C
G709	CDC27
G710	CDC34
G711	CDC42
G712	CDH1
G713	CDH2
G714	CDH3
G715	CDH4
G716	CDH5
G717	CDH6
G718	CDH7
G719	CDH8
G720	CDH9
G721	CDH10
G722	CDH11
G723	CDH12
G724	CDH13
G725	CDH15
G726	CDH16
G727	CDH17
G728	CDH18
G729	CDK2
G730	CDK3
G731	CDK4
G732	CDK5
G733	CDK6
G734	CDK7
G735	CDK8
G736	CDK9
G737	CDKN1A
G738	CDKN1B
G739	CDKN1C
G740	CDKN2A
G741	CDKN2B
G742	CDKN2C
G743	CDKN2D
G744	CDKN3
G745	CDO1
G746	CDR2
G747	CDS1
G748	CDSN
G749	CD52
G750	CDX1
G751	CDX2
G752	CDX4
G753	CLGN
G754	CEACAM5
G755	CEBPA
G756	CEBPB
G757	CEBPD
G758	CEBPE
G759	CEBPG
G760	CEL
G761	CENPA
G762	CENPB
G763	CENPC
G764	CENPE
G765	CENPF
G766	CES1
G767	CETN1
G768	CETN2
G769	CETN3
G770	CETP
G771	CFL1
G772	CFL2
G773	CTSC
G774	CFTR
G775	CGA
G776	CGB3
G777	CEACAM3
G778	CEACAM7
G779	CEACAM8
G780	CHAD
G781	RCBTB2
G782	CHAT
G783	RCC1
G784	CHD1
G785	CHD2
G786	CHD3
G787	CHD4
G788	AKR1C4
G789	CHEK1
G790	FOXN3
G791	CHGA
G792	CHGB
G793	CHI3L1
G794	CHI3L2
G795	CHIT1
G796	CHKA
G797	CHKB
G798	CHM
G799	CHML
G800	CHN1
G801	CHN2
G802	CHRM1
G803	CHRM2
G804	LYST
G805	CHRM3
G806	CHRM4
G807	CHRM5
G808	CHRNA1
G809	CHRNA2
G810	CHRNA3
G811	CHRNA4
G812	CHRNA5
G813	CHRNA7
G814	CHRNB1
G815	CHRNB2
G816	CHRNB3
G817	CHRNB4
G818	CHRND
G819	CHRNE
G820	CHRNG
G821	CHUK
G822	CIDEA
G823	CKB
G824	CIRBP
G825	CISH
G826	TBCB
G827	CKM
G828	CKMT1B
G829	CKMT2
G830	ERCC8
G831	CKS1B
G832	CKS2
G833	AP2M1
G834	AP1S1
G835	AP2S1
G836	AP3S1
G837	CLCA1
G838	CLCN1
G839	CLCN2
G840	CLCN3
G841	CLCN4
G842	CLCN5
G843	CLCN6
G844	CLCN7
G845	CLCNKA
G846	CLCNKB
G847	CLU
G848	CLIC1
G849	CLIC2
G850	CLK1
G851	CLK2
G852	CLK3
G853	TPP1
G854	CLN3
G855	CLN5
G856	CLNS1A
G857	CLPS
G858	CLPTM1
G859	CLTA
G860	CLTB
G861	CLTC
G862	CMA1
G863	CCR1
G864	CCR3
G865	CCR4
G866	CCR5
G867	CCR6
G868	CCR7
G869	CCR8
G870	ACKR2
G871	CMKLR1
G872	LTB4R
G873	ABCC2
G874	CNGB1
G875	CNGA1
G876	CNGA2
G877	CNGA3
G878	CNGA4
G879	PLK3
G880	CNN1
G881	CNN2
G882	CNN3
G883	CNP
G884	CNR1
G885	CNR2
G886	CNTF
G887	CNTFR
G888	CNTN1
G889	COL1A1
G890	COL1A2
G891	COL2A1
G892	COL3A1
G893	COL4A1
G894	COL4A2
G895	COL4A3
G896	COL4A4
G897	COL4A5
G898	COL4A6
G899	COL5A1
G900	COL5A2
G901	COL6A1
G902	COL6A2
G903	COL6A3
G904	COL7A1
G905	COL8A1
G906	COL8A2
G907	COL9A1
G908	COL9A2
G909	COL9A3
G910	COL10A1
G911	COL11A1
G912	COL11A2
G913	COL12A1
G914	COL13A1
G915	COL15A1
G916	COL16A1
G917	COL17A1
G918	COL19A1
G919	COMP
G920	COMT
G921	COPA
G922	COPB1
G923	KLF6
G924	SLC31A1
G925	SLC31A2
G926	CORT
G927	MAP3K8
G928	COX4I1
G929	COX5B
G930	COX6A1
G931	COX6A2
G932	COX6B1
G933	COX6C
G934	COX7A1
G935	COX7A2
G936	COX7B
G937	COX7C
G938	COX8A
G939	COX10
G940	COX11
G941	COX15
G942	CP
G943	CPA1
G944	CPA2
G945	CPA3
G946	CPB2
G947	CPD
G948	CPE
G949	CLDN4
G950	CLDN3
G951	CLDN7
G952	CPM
G953	CPN1
G954	CPN2
G955	CPOX
G956	CPS1
G957	CPT1A
G958	CPT1B
G959	CPT2
G960	CR1
G961	CR1L
G962	CR2
G963	CRABP1
G964	CRABP2
G965	CRAT
G966	CREB1
G967	ATF2
G968	CREBBP
G969	ATF6B
G970	CREBL2
G971	CREM
G972	CRH
G973	CRHBP
G974	CRHR1
G975	CRHR2
G976	CRIP1
G977	CRIP2
G978	CRK
G979	CRKL
G980	CRMP1
G981	CRP
G982	HAPLN1
G983	CRX
G984	CRY1
G985	CRY2
G986	CRYAA
G987	CRYAB
G988	CRYBA1
G989	CRYBA2
G990	CRYBA4
G991	CRYBB1
G992	CRYBB2
G993	CRYBB2P1
G994	CRYBB3
G995	CRYGA
G996	CRYGB
G997	CRYGC
G998	CRYGD
G999	CRYGS
G1000	CRYM
G1001	CRYZ
G1002	CS
G1003	MAPK14
G1004	CSE1L
G1005	CSF1
G1006	CSF1R
G1007	CSF2
G1008	CSF2RA
G1009	CSF2RB
G1010	CSF3
G1011	CSF3R
G1012	CSH1
G1013	CSH2
G1014	CSHL1
G1015	CSK
G1016	CSN1S1
G1017	CSN2
G1018	CSN3
G1019	CSNK1A1
G1020	CSNK1D
G1021	CSNK1E
G1022	CSNK1G2
G1023	CSNK1G3
G1024	CSNK2A1
G1025	CSNK2A2
G1026	CSNK2B
G1027	VCAN
G1028	NCAN
G1029	CSPG4
G1030	CSRP1
G1031	CSRP2
G1032	SLC25A10
G1033	CST1
